R1,R2,erro
0.01,0.01,0.0777466837565098
0.01,0.02,0.07788909912109312
0.01,0.03,0.07802642822265562
0.01,0.04,0.07816121419270772
0.01,0.05,0.07829345703124937
0.01,0.06,0.07842061360677022
0.01,0.07,0.07854649861653584
0.01,0.08,0.07867047627766866
0.01,0.09,0.07878936767578062
0.01,0.1,0.078907623291015
0.01,0.11,0.07902269999186136
0.01,0.12,0.0791365051269525
0.01,0.13,0.07924840291341084
0.01,0.14,0.07935775756835875
0.01,0.15,0.07946520487467386
0.01,0.16,0.07957074483235616
0.01,0.17,0.07967437744140562
0.01,0.18,0.0797761027018223
0.01,0.19,0.07987782796223897
0.01,0.2,0.07997701009114522
0.02,0.01,0.0774415079752598
0.02,0.02,0.07758455912272073
0.02,0.03,0.07772506713867125
0.02,0.04,0.07786112467447855
0.02,0.05,0.07799273173014261
0.02,0.06,0.07812243143717386
0.02,0.07,0.07824895222981709
0.02,0.08,0.0783729298909499
0.02,0.09,0.0784943644205723
0.02,0.1,0.07861325581868428
0.02,0.11,0.07872960408528584
0.02,0.12,0.07884468078613219
0.02,0.13,0.07895785013834573
0.02,0.14,0.07906720479329366
0.02,0.15,0.07917592366536397
0.02,0.16,0.07928209940592386
0.02,0.17,0.07938827514648375
0.02,0.18,0.07949127197265562
0.02,0.19,0.07959236145019469
0.02,0.2,0.07969154357910094
0.03,0.01,0.07714777628580667
0.03,0.02,0.07729146321614522
0.03,0.03,0.07743197123209573
0.03,0.04,0.07756993611653584
0.03,0.05,0.07770281473795511
0.03,0.06,0.07783378601074156
0.03,0.07,0.07796157836914
0.03,0.08,0.07808682759602803
0.03,0.09,0.07820953369140562
0.03,0.1,0.07832842508951761
0.03,0.11,0.07844668070475198
0.03,0.12,0.07856239318847594
0.03,0.13,0.07867492675781187
0.03,0.14,0.07878682454427022
0.03,0.15,0.07889617919921812
0.03,0.16,0.07900362650553323
0.03,0.17,0.07910916646321553
0.03,0.18,0.07921407063802022
0.03,0.19,0.07931643168131448
0.03,0.2,0.07941688537597594
0.04,0.01,0.0768623097737624
0.04,0.02,0.07700726826985616
0.04,0.03,0.07714968363443948
0.04,0.04,0.07728764851887959
0.04,0.05,0.07742307027180928
0.04,0.06,0.07755467732747334
0.04,0.07,0.07768310546874937
0.04,0.08,0.0778083546956374
0.04,0.09,0.07793169657389261
0.04,0.1,0.0780524953206374
0.04,0.11,0.07817011515299417
0.04,0.12,0.07828709920247334
0.04,0.13,0.07840217590331969
0.04,0.14,0.07851470947265562
0.04,0.15,0.07862533569335875
0.04,0.16,0.07873341878255147
0.04,0.17,0.07883959452311136
0.04,0.18,0.07894513448079366
0.04,0.19,0.07904813130696553
0.04,0.2,0.07914985656738219
0.05,0.01,0.0765870157877598
0.05,0.02,0.07673261006673116
0.05,0.03,0.07687502543131448
0.05,0.04,0.07701362609863219
0.05,0.05,0.07714904785156187
0.05,0.06,0.07728192647298116
0.05,0.07,0.07741289774576761
0.05,0.08,0.07753941853841084
0.05,0.09,0.07766339619954366
0.05,0.1,0.07778483072916605
0.05,0.11,0.07790372212727803
0.05,0.12,0.07802261352539
0.05,0.13,0.07813641866048116
0.05,0.14,0.0782502237955723
0.05,0.15,0.07836148579915303
0.05,0.16,0.07847020467122334
0.05,0.17,0.07857765197753844
0.05,0.18,0.07868382771809834
0.05,0.19,0.07878746032714781
0.05,0.2,0.07889045715331969
0.06,0.01,0.07631680806477803
0.06,0.02,0.0764649454752598
0.06,0.03,0.07660799662272073
0.06,0.04,0.07674786885579366
0.06,0.05,0.07688456217447855
0.06,0.06,0.07701807657877542
0.06,0.07,0.07714968363443948
0.06,0.08,0.07727620442708272
0.06,0.09,0.07740145365397073
0.06,0.1,0.07752415974934834
0.06,0.11,0.07764495849609312
0.06,0.12,0.0777625783284499
0.06,0.13,0.07787829081217386
0.06,0.14,0.077992095947265
0.06,0.15,0.07810399373372334
0.06,0.16,0.07821525573730406
0.06,0.17,0.07832270304361917
0.06,0.18,0.07842887878417906
0.06,0.19,0.07853441874186136
0.06,0.2,0.07863677978515562
0.07,0.01,0.07605613708496031
0.07,0.02,0.07620491027831969
0.07,0.03,0.07634923299153584
0.07,0.04,0.07648974100748636
0.07,0.05,0.07662707010904886
0.07,0.06,0.07676249186197855
0.07,0.07,0.0768928273518874
0.07,0.08,0.07702061971028584
0.07,0.09,0.07714777628580667
0.07,0.1,0.07727175394693948
0.07,0.11,0.07739128112792906
0.07,0.12,0.07751017252604105
0.07,0.13,0.07762779235839781
0.07,0.14,0.07774223327636656
0.07,0.15,0.07785540262858011
0.07,0.16,0.07796539306640562
0.07,0.17,0.07807474772135355
0.07,0.18,0.07818155924479105
0.07,0.19,0.07828773498535094
0.07,0.2,0.07839136759440042
0.08,0.01,0.07580182393391866
0.08,0.02,0.07595123291015562
0.08,0.03,0.07609746297200459
0.08,0.04,0.07623860677083272
0.08,0.05,0.07637720743815042
0.08,0.06,0.0765113576253249
0.08,0.07,0.07664423624674417
0.08,0.08,0.07677330017089781
0.08,0.09,0.07689918518066344
0.08,0.1,0.07702379862467386
0.08,0.11,0.07714523315429625
0.08,0.12,0.07726476033528584
0.08,0.13,0.07738301595052022
0.08,0.14,0.07749872843424417
0.08,0.15,0.07761189778645772
0.08,0.16,0.07772315979003844
0.08,0.17,0.07783315022786397
0.08,0.18,0.07793996175130147
0.08,0.19,0.07804740905761656
0.08,0.2,0.07815104166666605
0.09,0.01,0.07555514017740823
0.09,0.02,0.07570582071940042
0.09,0.03,0.07585077921549417
0.09,0.04,0.0759931945800775
0.09,0.05,0.07613243103027281
0.09,0.06,0.0762678527832025
0.09,0.07,0.07640073140462178
0.09,0.08,0.07653043111165303
0.09,0.09,0.07665758768717386
0.09,0.1,0.07678283691406187
0.09,0.11,0.07690554300943948
0.09,0.12,0.07702570597330667
0.09,0.13,0.07714459737141866
0.09,0.14,0.07726030985514261
0.09,0.15,0.07737411499023375
0.09,0.16,0.07748601277669209
0.09,0.17,0.07759663899739522
0.09,0.18,0.07770599365234312
0.09,0.19,0.07781280517578062
0.09,0.2,0.07791834513346292
