R1,R2,erro
0.01,0.01,0.08411341349283792
0.01,0.02,0.0842621866861973
0.01,0.03,0.08440905253092386
0.01,0.04,0.08454892476399678
0.01,0.05,0.08468752543131448
0.01,0.06,0.08482167561848897
0.01,0.07,0.08495328267415303
0.01,0.08,0.08508171081542906
0.01,0.09,0.08520759582519469
0.01,0.1,0.0853309377034499
0.01,0.11,0.0854523722330723
0.01,0.12,0.08557062784830667
0.01,0.13,0.08568570454915303
0.01,0.14,0.08580078124999937
0.01,0.15,0.0859114074707025
0.01,0.16,0.08602139790852803
0.01,0.17,0.08613011678059834
0.01,0.18,0.08623629252115823
0.01,0.19,0.08634056091308531
0.01,0.2,0.08644355773925719
0.02,0.01,0.08382858276367125
0.02,0.02,0.08397926330566344
0.02,0.03,0.08412612915039
0.02,0.04,0.08426918029785094
0.02,0.05,0.08440778096516866
0.02,0.06,0.08454320271809834
0.02,0.07,0.08467608133951761
0.02,0.08,0.08480578104654886
0.02,0.09,0.08493293762206969
0.02,0.1,0.0850569152832025
0.02,0.11,0.0851789855957025
0.02,0.12,0.08529787699381448
0.02,0.13,0.08541486104329366
0.02,0.14,0.08552993774414
0.02,0.15,0.08564310709635355
0.02,0.16,0.08575309753417906
0.02,0.17,0.08586245218912698
0.02,0.18,0.08596989949544209
0.02,0.19,0.08607607523600198
0.02,0.2,0.08617907206217386
0.03,0.01,0.08355328877766866
0.03,0.02,0.08370587666829366
0.03,0.03,0.08385337829589781
0.03,0.04,0.08399706522623636
0.03,0.05,0.08413693745930928
0.03,0.06,0.08427363077799417
0.03,0.07,0.08440714518229105
0.03,0.08,0.0845374806721999
0.03,0.09,0.08466527303059834
0.03,0.1,0.08479052225748636
0.03,0.11,0.08491386413574156
0.03,0.12,0.08503339131673116
0.03,0.13,0.08515291849772073
0.03,0.14,0.08526799519856709
0.03,0.15,0.08538180033365823
0.03,0.16,0.08549369812011656
0.03,0.17,0.08560432434081969
0.03,0.18,0.0857117716471348
0.03,0.19,0.0858192189534499
0.03,0.2,0.08592348734537698
0.04,0.01,0.0832862599690749
0.04,0.02,0.08344011942545511
0.04,0.03,0.08358762105305928
0.04,0.04,0.08373257954915303
0.04,0.05,0.08387372334798116
0.04,0.06,0.08401168823242125
0.04,0.07,0.08414710998535094
0.04,0.08,0.084278717041015
0.04,0.09,0.08440650939941344
0.04,0.1,0.08453366597493428
0.04,0.11,0.08465700785318948
0.04,0.12,0.08477844238281187
0.04,0.13,0.08489669799804625
0.04,0.14,0.08501431783040303
0.04,0.15,0.08512875874837178
0.04,0.16,0.08524192810058531
0.04,0.17,0.08535255432128844
0.04,0.18,0.08546190897623636
0.04,0.19,0.08556999206542906
0.04,0.2,0.08567489624023375
0.05,0.01,0.0830268605550124
0.05,0.02,0.08318135579427022
0.05,0.03,0.08333012898762959
0.05,0.04,0.08347635904947855
0.05,0.05,0.08361877441406187
0.05,0.06,0.08375801086425719
0.05,0.07,0.08389279683430928
0.05,0.08,0.08402503967285094
0.05,0.09,0.0841553751627598
0.05,0.1,0.08428316752115823
0.05,0.11,0.08440650939941344
0.05,0.12,0.08452921549479105
0.05,0.13,0.08464874267578062
0.05,0.14,0.084766998291015
0.05,0.15,0.08488271077473897
0.05,0.16,0.0849958801269525
0.05,0.17,0.08510777791341084
0.05,0.18,0.08521776835123636
0.05,0.19,0.08532712300618428
0.05,0.2,0.08543393452962178
0.06,0.01,0.08277509053548116
0.06,0.02,0.08293085734049417
0.06,0.03,0.08308090209960875
0.06,0.04,0.08322776794433531
0.06,0.05,0.08337018330891866
0.06,0.06,0.08351069132486917
0.06,0.07,0.08364674886067647
0.06,0.08,0.08377962748209573
0.06,0.09,0.08390996297200459
0.06,0.1,0.08403966267903584
0.06,0.11,0.08416427612304625
0.06,0.12,0.08428698221842386
0.06,0.13,0.08440714518229105
0.06,0.14,0.08452603658040303
0.06,0.15,0.08464238484700459
0.06,0.16,0.08475682576497334
0.06,0.17,0.08486935933430928
0.06,0.18,0.08498062133789
0.06,0.19,0.08508997599283792
0.06,0.2,0.08519805908203062
0.07,0.01,0.08253094991048116
0.07,0.02,0.08268544514973897
0.07,0.03,0.08283739725748636
0.07,0.04,0.08298489888509053
0.07,0.05,0.08312858581542906
0.07,0.06,0.08326972961425719
0.07,0.07,0.08340642293294209
0.07,0.08,0.08354057312011656
0.07,0.09,0.08367218017578062
0.07,0.1,0.08380124409993428
0.07,0.11,0.0839277648925775
0.07,0.12,0.08405047098795511
0.07,0.13,0.08417254130045511
0.07,0.14,0.08429206848144469
0.07,0.15,0.08440905253092386
0.07,0.16,0.08452412923177022
0.07,0.17,0.08463793436686136
0.07,0.18,0.08474983215331969
0.07,0.19,0.08486045837402281
0.07,0.2,0.08496917724609312
0.08,0.01,0.08229189554850198
0.08,0.02,0.0824470265706374
0.08,0.03,0.08260025024414
0.08,0.04,0.08274838765462178
0.08,0.05,0.08289398193359312
0.08,0.06,0.08303512573242125
0.08,0.07,0.08317372639973897
0.08,0.08,0.08330787658691344
0.08,0.09,0.08344011942545511
0.08,0.1,0.08356918334960875
0.08,0.11,0.08369570414225198
0.08,0.12,0.08382095336914
0.08,0.13,0.0839423878987624
0.08,0.14,0.08406255086262959
0.08,0.15,0.08418080647786397
