R1,R2,erro
0.01,0.01,0.08160334269205667
0.01,0.02,0.08175020853678323
0.01,0.03,0.08189135233561136
0.01,0.04,0.08203122456868428
0.01,0.05,0.08216664632161397
0.01,0.06,0.08229952494303323
0.01,0.07,0.08242858886718687
0.01,0.08,0.0825544738769525
0.01,0.09,0.08267845153808531
0.01,0.1,0.08279925028483011
0.01,0.11,0.08291750590006448
0.01,0.12,0.08303385416666605
0.01,0.13,0.0831482950846348
0.01,0.14,0.08326082865397073
0.01,0.15,0.08337018330891866
0.01,0.16,0.08347953796386656
0.01,0.17,0.08358571370442647
0.01,0.18,0.08368934631347594
0.01,0.19,0.08379361470540303
0.01,0.2,0.08389470418294209
0.02,0.01,0.08131088256835875
0.02,0.02,0.08145901997884053
0.02,0.03,0.08160334269205667
0.02,0.04,0.08174257914225198
0.02,0.05,0.08187927246093687
0.02,0.06,0.08201215108235616
0.02,0.07,0.082142486572265
0.02,0.08,0.08226964314778584
0.02,0.09,0.08239425659179625
0.02,0.1,0.08251759847005147
0.02,0.11,0.08263712565104105
0.02,0.12,0.08275410970052022
0.02,0.13,0.08286918640136656
0.02,0.14,0.08298299153645772
0.02,0.15,0.08309361775716084
0.02,0.16,0.08320233662923116
0.02,0.17,0.08331041971842386
0.02,0.18,0.08341595967610616
0.02,0.19,0.08352022806803323
0.02,0.2,0.0836225891113275
0.03,0.01,0.0810279591878249
0.03,0.02,0.08117673238118428
0.03,0.03,0.08132169087727803
0.03,0.04,0.08146219889322855
0.03,0.05,0.08160016377766866
0.03,0.06,0.08173494974772073
0.03,0.07,0.0818665568033848
0.03,0.08,0.08199434916178323
0.03,0.09,0.08212023417154886
0.03,0.1,0.08224294026692647
0.03,0.11,0.08236373901367125
0.03,0.12,0.08248263041178323
0.03,0.13,0.0825996144612624
0.03,0.14,0.08271341959635355
0.03,0.15,0.08282531738281187
0.03,0.16,0.082935943603515
0.03,0.17,0.08304339090983011
0.03,0.18,0.08315083821614522
0.03,0.19,0.0832551066080723
0.03,0.2,0.08335810343424417
0.04,0.01,0.0807539367675775
0.04,0.02,0.08090398152669209
0.04,0.03,0.08104957580566344
0.04,0.04,0.08119199117024678
0.04,0.05,0.08133059183756448
0.04,0.06,0.08146664937337178
0.04,0.07,0.08159825642903584
0.04,0.08,0.08172732035318948
0.04,0.09,0.08185447692871031
0.04,0.1,0.08197909037272073
0.04,0.11,0.08210116068522073
0.04,0.12,0.08221941630045511
0.04,0.13,0.08233640034993428
0.04,0.14,0.08245147705078062
0.04,0.15,0.08256528218587178
0.04,0.16,0.0826759084065749
0.04,0.17,0.08278526306152281
0.04,0.18,0.08289207458496031
0.04,0.19,0.08299825032552022
0.04,0.2,0.0831025187174473
0.05,0.01,0.08048881530761656
0.05,0.02,0.08063949584960875
0.05,0.03,0.08078572591145772
0.05,0.04,0.08092814127604105
0.05,0.05,0.08106928507486917
0.05,0.06,0.08120534261067647
0.05,0.07,0.08133822123209573
0.05,0.08,0.08146792093912698
0.05,0.09,0.08159571329752542
0.05,0.1,0.08172096252441344
0.05,0.11,0.08184366861979105
0.05,0.12,0.08196383158365823
0.05,0.13,0.08208208719889261
