R1,R2,erro
0.01,0.01,0.08001579284667906
0.01,0.02,0.08016011555989522
0.01,0.03,0.08030125935872334
0.01,0.04,0.08043922424316344
0.01,0.05,0.08057210286458272
0.01,0.06,0.08070307413736917
0.01,0.07,0.08083086649576761
0.01,0.08,0.08095611572265562
0.01,0.09,0.08107755025227803
0.01,0.1,0.08119707743326761
0.01,0.11,0.08131469726562437
0.01,0.12,0.08143104553222594
0.01,0.13,0.08154294331868428
0.01,0.14,0.0816535695393874
0.01,0.15,0.08176419576009053
0.01,0.16,0.08187037150065042
0.01,0.17,0.08197527567545511
0.01,0.18,0.08207954406738219
0.01,0.19,0.08218126932779886
0.01,0.2,0.08228235880533792
0.02,0.01,0.07971824645996031
0.02,0.02,0.07986384073893167
0.02,0.03,0.08000689188639261
0.02,0.04,0.08014549255371031
0.02,0.05,0.08027900695800719
0.02,0.06,0.08041124979654886
0.02,0.07,0.0805403137207025
0.02,0.08,0.08066619873046812
0.02,0.09,0.08078890482584573
0.02,0.1,0.08091033935546812
0.02,0.11,0.08102923075358011
0.02,0.12,0.08114494323730406
0.02,0.13,0.08126001993815042
0.02,0.14,0.08137128194173116
0.02,0.15,0.08148127237955667
0.02,0.16,0.08158999125162698
0.02,0.17,0.08169616699218687
0.02,0.18,0.08180107116699156
0.02,0.19,0.08190343221028584
0.02,0.2,0.08200579325358011
0.03,0.01,0.07943087259928323
0.03,0.02,0.07957710266113219
0.03,0.03,0.07972142537434834
0.03,0.04,0.07986066182454366
0.03,0.05,0.07999544779459573
0.03,0.06,0.08012896219889261
0.03,0.07,0.08025866190592386
0.03,0.08,0.08038581848144469
0.03,0.09,0.08051043192545511
0.03,0.1,0.0806318664550775
0.03,0.11,0.08075139363606709
0.03,0.12,0.08086964925130147
0.03,0.13,0.08098472595214781
0.03,0.14,0.08109789530436136
0.03,0.15,0.08120852152506448
0.03,0.16,0.0813172403971348
0.03,0.17,0.0814246877034499
0.03,0.18,0.08153022766113219
0.03,0.19,0.08163386027018167
0.03,0.2,0.08173685709635355
0.04,0.01,0.079151763916015
0.04,0.02,0.07930053710937437
0.04,0.03,0.07944422403971292
0.04,0.04,0.07958473205566344
0.04,0.05,0.07972206115722594
0.04,0.06,0.07985557556152281
0.04,0.07,0.07998654683430928
0.04,0.08,0.08011433919270772
0.04,0.09,0.08024022420247334
0.04,0.1,0.08036229451497334
0.04,0.11,0.08048309326171812
0.04,0.12,0.08060198465983011
0.04,0.13,0.08071833292643167
0.04,0.14,0.08083150227864522
0.04,0.15,0.08094276428222594
0.04,0.16,0.08105339050292906
0.04,0.17,0.08116083780924417
0.04,0.18,0.08126828511555928
0.04,0.19,0.08137318929036397
0.04,0.2,0.08147555033365823
0.05,0.01,0.07888219197591084
0.05,0.02,0.07903160095214781
0.05,0.03,0.07917592366536397
0.05,0.04,0.07931706746419209
0.05,0.05,0.0794556681315098
0.05,0.06,0.07959045410156187
0.05,0.07,0.07972206115722594
0.05,0.08,0.07985048929850198
0.05,0.09,0.07997764587402281
0.05,0.1,0.08010162353515562
0.05,0.11,0.08022305806477803
0.05,0.12,0.0803406778971348
0.05,0.13,0.08045829772949156
0.05,0.14,0.08057273864746031
0.05,0.15,0.08068590799967386
0.05,0.16,0.08079589843749937
0.05,0.17,0.0809058888753249
0.05,0.18,0.08101333618164
0.05,0.19,0.08111824035644469
0.05,0.2,0.08122250874837178
0.06,0.01,0.07861961364746031
0.06,0.02,0.0787702941894525
0.06,0.03,0.07891525268554625
0.06,0.04,0.07905830383300719
0.06,0.05,0.0791962687174473
0.06,0.06,0.07933232625325459
0.06,0.07,0.07946456909179625
0.06,0.08,0.07959554036458272
0.06,0.09,0.07972142537434834
0.06,0.1,0.07984667460123636
0.06,0.11,0.07996810913085875
0.06,0.12,0.08008890787760355
0.06,0.13,0.08020716349283792
0.06,0.14,0.08032160441080667
0.06,0.15,0.08043477376302022
0.06,0.16,0.08054667154947855
0.06,0.17,0.08065666198730406
0.06,0.18,0.08076538085937437
0.06,0.19,0.08087092081705667
0.06,0.2,0.08097582499186136
0.07,0.01,0.07836402893066344
0.07,0.02,0.07851470947265562
0.07,0.03,0.0786622111002598
0.07,0.04,0.07880526224772073
0.07,0.05,0.07894513448079366
0.07,0.06,0.07908182779947855
0.07,0.07,0.07921470642089781
0.07,0.08,0.07934504191080667
0.07,0.09,0.07947283426920511
0.07,0.1,0.07959871927897073
0.07,0.11,0.07972142537434834
0.07,0.12,0.07984285990397073
0.07,0.13,0.07996111551920511
0.07,0.14,0.08007746378580667
0.07,0.15,0.08019063313802022
0.07,0.16,0.08030380249023375
0.07,0.17,0.08041442871093687
0.07,0.18,0.0805237833658848
0.07,0.19,0.08062995910644469
0.07,0.2,0.08073549906412698
0.08,0.01,0.07811607360839781
0.08,0.02,0.07826802571614522
0.08,0.03,0.07841489156087178
0.08,0.04,0.07855921427408792
0.08,0.05,0.07869972229003844
0.08,0.06,0.07883768717447855
0.08,0.07,0.07897120157877542
0.08,0.08,0.07910280863443948
0.08,0.09,0.07923060099283792
0.08,0.1,0.07935775756835875
0.08,0.11,0.07948109944661397
0.08,0.12,0.07960253397623636
0.08,0.13,0.07972142537434834
0.08,0.14,0.0798384094238275
0.08,0.15,0.07995412190755147
0.08,0.16,0.0800666554768874
0.08,0.17,0.08017728169759053
0.08,0.18,0.08028727213541605
0.08,0.19,0.08039535522460875
0.08,0.2,0.08050089518229105
0.09,0.01,0.07787384033203062
0.09,0.02,0.07802515665690042
0.09,0.03,0.0781745656331374
0.09,0.04,0.07831952412923116
0.09,0.05,0.07845939636230406
0.09,0.06,0.07859863281249937
0.09,0.07,0.07873278299967386
0.09,0.08,0.07886502583821553
0.09,0.09,0.07899472554524678
0.09,0.1,0.07912188212076761
0.09,0.11,0.07924585978190042
0.09,0.12,0.07936856587727803
0.09,0.13,0.07948745727539
0.09,0.14,0.07960507710774678
0.09,0.15,0.07972142537434834
0.09,0.16,0.07983523050943948
0.09,0.17,0.07994776407877542
0.09,0.18,0.08005648295084573
0.09,0.19,0.08016520182291605
0.09,0.2,0.08027201334635355
0.1,0.01,0.07763732910156187
0.1,0.02,0.07778928120930928
0.1,0.03,0.07793869018554625
0.1,0.04,0.07808492024739522
0.1,0.05,0.07822733561197855
0.1,0.06,0.07836530049641866
0.1,0.07,0.07850072224934834
0.1,0.08,0.07863487243652281
0.1,0.09,0.07876457214355406
0.1,0.1,0.0788910929361973
0.1,0.11,0.07901697794596292
0.1,0.12,0.07913904825846292
0.1,0.13,0.07926048278808531
0.1,0.14,0.07937810262044209
0.1,0.15,0.07949508666992125
0.1,0.16,0.0796082560221348
0.1,0.17,0.07972142537434834
0.1,0.18,0.07983205159505147
0.1,0.19,0.07994140624999937
0.1,0.2,0.08004885355631448
0.11,0.01,0.07740590413411397
0.11,0.02,0.07755976359049417
0.11,0.03,0.07770917256673116
0.11,0.04,0.07785603841145772
0.11,0.05,0.07799908955891866
0.11,0.06,0.07813769022623636
0.11,0.07,0.07827501932779886
0.11,0.08,0.07840853373209573
0.11,0.09,0.07853886922200459
0.11,0.1,0.07866729736328062
0.11,0.11,0.07879191080729105
0.11,0.12,0.07891588846842386
