R1,R2,erro
0.01,0.01,0.09180447896321553
0.01,0.02,0.09196278889973897
0.01,0.03,0.09211601257324156
0.01,0.04,0.09226605733235616
0.01,0.05,0.0924110158284499
0.01,0.06,0.09255470275878844
0.01,0.07,0.09269393920898375
0.01,0.08,0.09283126831054625
0.01,0.09,0.09296478271484312
0.01,0.1,0.09309638977050719
0.01,0.11,0.09322481791178323
0.01,0.12,0.09335070292154886
0.01,0.13,0.09347531636555928
0.01,0.14,0.09359611511230406
0.01,0.15,0.09371500651041605
0.01,0.16,0.09383262634277281
0.01,0.17,0.09394770304361917
0.01,0.18,0.09406087239583272
0.01,0.19,0.09417149861653584
0.01,0.2,0.09428148905436136
0.02,0.01,0.09154317220052022
0.02,0.02,0.09170338948567647
0.02,0.03,0.09185852050781187
0.02,0.04,0.09200856526692647
0.02,0.05,0.09215606689453062
0.02,0.06,0.09230038960774678
0.02,0.07,0.0924415334065749
0.02,0.08,0.0925788625081374
0.02,0.09,0.09271428426106709
0.02,0.1,0.09284652709960875
0.02,0.11,0.09297622680664
0.02,0.12,0.09310465494791605
0.02,0.13,0.09322926839192647
0.02,0.14,0.09335070292154886
0.02,0.15,0.09347213745117125
0.02,0.16,0.09358975728352803
0.02,0.17,0.09370610555012959
0.02,0.18,0.09382054646809834
0.02,0.19,0.09393244425455667
0.02,0.2,0.0940430704752598
0.03,0.01,0.09129076639811136
0.03,0.02,0.09145161946614522
0.03,0.03,0.09160865783691344
0.03,0.04,0.09175933837890562
0.03,0.05,0.09190874735514261
0.03,0.06,0.09205434163411397
0.03,0.07,0.09219548543294209
0.03,0.08,0.092335357666015
0.03,0.09,0.0924720509846999
0.03,0.1,0.09260620117187437
0.03,0.11,0.09273653666178323
0.03,0.12,0.09286432902018167
0.03,0.13,0.0929908498128249
0.03,0.14,0.0931135559082025
0.03,0.15,0.0932356262207025
0.03,0.16,0.09335388183593687
0.03,0.17,0.09347150166829366
0.03,0.18,0.09358657836914
0.03,0.19,0.09369911193847594
0.03,0.2,0.09381037394205667
0.04,0.01,0.09104598999023375
0.04,0.02,0.09120684305826761
0.04,0.03,0.09136515299479105
0.04,0.04,0.09151837666829366
0.04,0.05,0.09166842142740823
0.04,0.06,0.09181401570637959
0.04,0.07,0.09195833841959573
0.04,0.08,0.09209884643554625
0.04,0.09,0.09223490397135355
0.04,0.1,0.09236968994140562
0.04,0.11,0.09250129699706969
0.04,0.12,0.09263099670410094
0.04,0.13,0.09275751749674417
0.04,0.14,0.09288276672363219
0.04,0.15,0.0930054728190098
0.04,0.16,0.09312436421712178
0.04,0.17,0.09324325561523375
0.04,0.18,0.09335833231608011
0.04,0.19,0.09347150166829366
0.04,0.2,0.09358467102050719
0.05,0.01,0.09080693562825459
0.05,0.02,0.09097096761067647
0.05,0.03,0.0911286417643223
0.05,0.04,0.09128313700358011
0.05,0.05,0.0914344533284499
0.05,0.06,0.09158195495605406
0.05,0.07,0.09172627766927022
0.05,0.08,0.09186869303385355
0.05,0.09,0.09200602213541605
0.05,0.1,0.09214144388834573
0.05,0.11,0.092274322509765
0.05,0.12,0.09240465799967386
0.05,0.13,0.09253181457519469
0.05,0.14,0.09265769958496031
0.05,0.15,0.09278104146321553
0.05,0.16,0.09290056864420511
0.05,0.17,0.09302009582519469
0.05,0.18,0.09313644409179625
0.05,0.19,0.093250885009765
0.05,0.2,0.09336341857910094
0.06,0.01,0.09057551066080667
0.06,0.02,0.09073954264322855
0.06,0.03,0.09089912414550719
0.06,0.04,0.09105489095052022
0.06,0.05,0.09120684305826761
0.06,0.06,0.09135625203450459
0.06,0.07,0.09150121053059834
0.06,0.08,0.09164362589518167
0.06,0.09,0.09178286234537698
0.06,0.1,0.09191891988118428
0.06,0.11,0.09205307006835875
0.06,0.12,0.09218340555826761
0.06,0.13,0.09231246948242125
0.06,0.14,0.09243771870930928
0.06,0.15,0.09256169637044209
0.06,0.16,0.09268376668294209
0.06,0.17,0.09280265808105406
0.06,0.18,0.09292027791341084
0.06,0.19,0.0930359903971348
0.06,0.2,0.09314915974934834
0.07,0.01,0.09034980773925719
0.07,0.02,0.09051447550455667
0.07,0.03,0.09067532857259053
0.07,0.04,0.09083236694335875
0.07,0.05,0.09098559061686136
0.07,0.06,0.09113499959309834
0.07,0.07,0.0912818654378249
0.07,0.08,0.09142428080240823
0.07,0.09,0.09156415303548116
0.07,0.1,0.09170084635416605
0.07,0.11,0.09183626810709573
0.07,0.12,0.09196723937988219
0.07,0.13,0.09209693908691344
0.07,0.14,0.09222409566243428
0.07,0.15,0.0923493448893223
0.07,0.16,0.09247014363606709
0.07,0.17,0.09259094238281187
0.07,0.18,0.09270856221516866
0.07,0.19,0.09282427469889261
0.07,0.2,0.09293871561686136
0.08,0.01,0.09012982686360616
0.08,0.02,0.09029576619466084
0.08,0.03,0.0904572550455723
0.08,0.04,0.09061492919921812
0.08,0.05,0.09076878865559834
0.08,0.06,0.09091946919759053
0.08,0.07,0.0910676066080723
0.08,0.08,0.09121065775553323
0.08,0.09,0.09135180155436136
0.08,0.1,0.09148976643880147
0.08,0.11,0.09162455240885355
0.08,0.12,0.09175743103027281
0.08,0.13,0.09188840230305928
0.08,0.14,0.0920149230957025
0.08,0.15,0.09213953653971292
0.08,0.16,0.09226351420084573
0.08,0.17,0.09238431294759053
0.08,0.18,0.0925025685628249
0.08,0.19,0.09261891682942647
0.08,0.2,0.09273399353027281
0.09,0.01,0.08991429646809834
0.09,0.02,0.09008087158203062
0.09,0.03,0.0902442677815749
0.09,0.04,0.09040257771809834
0.09,0.05,0.09055898030598897
0.09,0.06,0.09070966084798116
0.09,0.07,0.09085716247558531
0.09,0.08,0.09100275675455667
0.09,0.09,0.09114326477050719
0.09,0.1,0.0912825012207025
0.09,0.11,0.0914185587565098
0.09,0.12,0.09155270894368428
0.09,0.13,0.09168177286783792
0.09,0.14,0.09181020100911397
0.09,0.15,0.09193608601887959
0.09,0.16,0.09206069946289
0.09,0.17,0.09218086242675719
0.09,0.18,0.09230102539062437
0.09,0.19,0.09241800944010355
0.09,0.2,0.0925330861409499
0.1,0.01,0.08970448811848897
0.1,0.02,0.08987297058105406
0.1,0.03,0.09003636678059834
0.1,0.04,0.09019594828287698
0.1,0.05,0.09035171508789
0.1,0.06,0.0905036671956374
0.1,0.07,0.09065307617187437
0.1,0.08,0.09079739888509053
0.1,0.09,0.09094045003255147
0.1,0.1,0.09107905069986917
0.1,0.11,0.09121701558430928
0.1,0.12,0.09135116577148375
0.1,0.13,0.09148150126139261
0.1,0.14,0.09161056518554625
0.1,0.15,0.09173708597818948
0.1,0.16,0.0918616994221999
0.1,0.17,0.0919844055175775
0.1,0.18,0.09210329691568948
0.1,0.19,0.09222091674804625
0.1,0.2,0.09233662923177022
0.11,0.01,0.08949976603190042
0.11,0.02,0.08966824849446553
0.11,0.03,0.0898322804768874
0.11,0.04,0.08999376932779886
0.11,0.05,0.09015017191568948
0.11,0.06,0.09030275980631448
0.11,0.07,0.09045280456542906
0.11,0.08,0.09059839884440042
0.11,0.09,0.09074144999186136
0.11,0.1,0.09088132222493428
0.11,0.11,0.09101928710937437
0.11,0.12,0.09115407307942647
0.11,0.13,0.09128504435221292
0.11,0.14,0.09141474405924417
0.11,0.15,0.091541900634765
0.11,0.16,0.09166714986165303
0.11,0.17,0.09178985595703062
0.11,0.18,0.09191001892089781
0.11,0.19,0.0920289103190098
0.11,0.2,0.09214525858561136
0.12,0.01,0.0892982228596999
0.12,0.02,0.08946797688802022
0.12,0.03,0.0896332804361973
0.12,0.04,0.08979413350423116
0.12,0.05,0.08995244344075459
0.12,0.06,0.0901063028971348
0.12,0.07,0.09025634765624937
0.12,0.08,0.09040257771809834
0.12,0.09,0.09054626464843687
0.12,0.1,0.0906867726643874
0.12,0.11,0.09082600911458272
0.12,0.12,0.0909607950846348
0.12,0.13,0.09109367370605406
0.12,0.14,0.09122273763020772
0.12,0.15,0.09135052998860616
0.12,0.16,0.09147577921549417
0.12,0.17,0.09159912109374937
0.12,0.18,0.09172119140624937
0.12,0.19,0.09183944702148375
0.12,0.2,0.09195643107096292
0.13,0.01,0.08910176595052022
0.13,0.02,0.08927279154459573
0.13,0.03,0.08943873087565042
0.13,0.04,0.08960021972656187
