Rg1,Rg2,Rg3,Erro
0.01,0.07,0.18,0.09270856221516866
0.01,0.07,0.19,0.09282427469889261
0.01,0.07,0.2,0.09293871561686136
0.01,0.08,0.01,0.09012982686360616
0.01,0.08,0.02,0.09029576619466084
0.01,0.08,0.03,0.0904572550455723
0.01,0.08,0.04,0.09061492919921812
0.01,0.08,0.05,0.09076878865559834
0.01,0.08,0.06,0.09091946919759053
0.01,0.08,0.07,0.0910676066080723
0.01,0.08,0.08,0.09121065775553323
0.01,0.08,0.09,0.09135180155436136
0.01,0.08,0.1,0.09148976643880147
0.01,0.08,0.11,0.09162455240885355
0.01,0.08,0.12,0.09175743103027281
0.01,0.08,0.13,0.09188840230305928
0.01,0.08,0.14,0.0920149230957025
0.01,0.08,0.15,0.09213953653971292
0.01,0.08,0.16,0.09226351420084573
0.01,0.08,0.17,0.09238431294759053
0.01,0.08,0.18,0.0925025685628249
0.01,0.08,0.19,0.09261891682942647
0.01,0.08,0.2,0.09273399353027281
0.01,0.09,0.01,0.08991429646809834
0.01,0.09,0.02,0.09008087158203062
0.01,0.09,0.03,0.0902442677815749
0.01,0.09,0.04,0.09040257771809834
0.01,0.09,0.05,0.09055898030598897
0.01,0.09,0.06,0.09070966084798116
0.01,0.09,0.07,0.09085716247558531
0.01,0.09,0.08,0.09100275675455667
0.01,0.09,0.09,0.09114326477050719
0.01,0.09,0.1,0.0912825012207025
0.01,0.09,0.11,0.0914185587565098
0.01,0.09,0.12,0.09155270894368428
0.01,0.09,0.13,0.09168177286783792
0.01,0.09,0.14,0.09181020100911397
0.01,0.09,0.15,0.09193608601887959
0.01,0.09,0.16,0.09206069946289
0.01,0.09,0.17,0.09218086242675719
0.01,0.09,0.18,0.09230102539062437
0.01,0.09,0.19,0.09241800944010355
0.01,0.09,0.2,0.0925330861409499
0.01,0.1,0.01,0.08970448811848897
0.01,0.1,0.02,0.08987297058105406
0.01,0.1,0.03,0.09003636678059834
0.01,0.1,0.04,0.09019594828287698
0.01,0.1,0.05,0.09035171508789
0.01,0.1,0.06,0.0905036671956374
0.01,0.1,0.07,0.09065307617187437
0.01,0.1,0.08,0.09079739888509053
0.01,0.1,0.09,0.09094045003255147
0.01,0.1,0.1,0.09107905069986917
0.01,0.1,0.11,0.09121701558430928
0.01,0.1,0.12,0.09135116577148375
0.01,0.1,0.13,0.09148150126139261
0.01,0.1,0.14,0.09161056518554625
0.01,0.1,0.15,0.09173708597818948
0.01,0.1,0.16,0.0918616994221999
0.01,0.1,0.17,0.0919844055175775
0.01,0.1,0.18,0.09210329691568948
0.01,0.1,0.19,0.09222091674804625
0.01,0.1,0.2,0.09233662923177022
0.01,0.11,0.01,0.08949976603190042
0.01,0.11,0.02,0.08966824849446553
0.01,0.11,0.03,0.0898322804768874
0.01,0.11,0.04,0.08999376932779886
0.01,0.11,0.05,0.09015017191568948
0.01,0.11,0.06,0.09030275980631448
0.01,0.11,0.07,0.09045280456542906
0.01,0.11,0.08,0.09059839884440042
0.01,0.11,0.09,0.09074144999186136
0.01,0.11,0.1,0.09088132222493428
0.01,0.11,0.11,0.09101928710937437
0.01,0.11,0.12,0.09115407307942647
0.01,0.11,0.13,0.09128504435221292
0.01,0.11,0.14,0.09141474405924417
0.01,0.11,0.15,0.091541900634765
0.01,0.11,0.16,0.09166714986165303
0.01,0.11,0.17,0.09178985595703062
0.01,0.11,0.18,0.09191001892089781
0.01,0.11,0.19,0.0920289103190098
0.01,0.11,0.2,0.09214525858561136
0.01,0.12,0.01,0.0892982228596999
0.01,0.12,0.02,0.08946797688802022
0.01,0.12,0.03,0.0896332804361973
0.01,0.12,0.04,0.08979413350423116
0.01,0.12,0.05,0.08995244344075459
0.01,0.12,0.06,0.0901063028971348
0.01,0.12,0.07,0.09025634765624937
0.01,0.12,0.08,0.09040257771809834
0.01,0.12,0.09,0.09054626464843687
0.01,0.12,0.1,0.0906867726643874
0.01,0.12,0.11,0.09082600911458272
0.01,0.12,0.12,0.0909607950846348
0.01,0.12,0.13,0.09109367370605406
0.01,0.12,0.14,0.09122273763020772
0.01,0.12,0.15,0.09135052998860616
0.01,0.12,0.16,0.09147577921549417
0.01,0.12,0.17,0.09159912109374937
0.01,0.12,0.18,0.09172119140624937
0.01,0.12,0.19,0.09183944702148375
0.01,0.12,0.2,0.09195643107096292
0.01,0.13,0.01,0.08910176595052022
0.01,0.13,0.02,0.08927279154459573
0.01,0.13,0.03,0.08943873087565042
0.01,0.13,0.04,0.08960021972656187
0.01,0.13,0.05,0.08975852966308531
0.01,0.13,0.06,0.08991302490234312
0.01,0.13,0.07,0.09006434122721292
0.01,0.13,0.08,0.09021120707193948
0.01,0.13,0.09,0.09035552978515562
0.01,0.13,0.1,0.09049794514973897
0.01,0.13,0.11,0.09063527425130147
0.01,0.13,0.12,0.09077196756998636
0.01,0.13,0.13,0.09090421040852803
0.01,0.13,0.14,0.09103518168131448
0.01,0.13,0.15,0.09116360982259053
0.01,0.13,0.16,0.09129013061523375
0.01,0.13,0.17,0.09141347249348897
0.01,0.13,0.18,0.09153427124023375
0.01,0.13,0.19,0.09165506998697855
0.01,0.13,0.2,0.09177205403645772
0.01,0.14,0.01,0.08890912373860616
0.01,0.14,0.02,0.08908078511555928
0.01,0.14,0.03,0.08924736022949156
0.01,0.14,0.04,0.08940948486328062
0.01,0.14,0.05,0.08956906636555928
0.01,0.14,0.06,0.08972356160481709
0.01,0.14,0.07,0.08987551371256448
0.01,0.14,0.08,0.09002365112304625
0.01,0.14,0.09,0.0901679738362624
0.01,0.14,0.1,0.09031038920084573
0.01,0.14,0.11,0.09044835408528584
0.01,0.14,0.12,0.09058568318684834
0.01,0.14,0.13,0.09071919759114522
0.01,0.14,0.14,0.09085080464680928
0.01,0.14,0.15,0.09097859700520772
0.01,0.14,0.16,0.09110575358072855
0.01,0.14,0.17,0.09123036702473897
0.01,0.14,0.18,0.09135243733723897
0.01,0.14,0.19,0.09147196451822855
0.01,0.14,0.2,0.09159022013346292
0.01,0.15,0.01,0.08872029622395772
0.01,0.15,0.02,0.08889259338378844
0.01,0.15,0.03,0.08905980428059834
0.01,0.15,0.04,0.08922320048014261
0.01,0.15,0.05,0.08938214619954366
0.01,0.15,0.06,0.08953727722167906
0.01,0.15,0.07,0.08968986511230406
0.01,0.15,0.08,0.08983927408854105
0.01,0.15,0.09,0.0899848683675124
0.01,0.15,0.1,0.09012664794921812
0.01,0.15,0.11,0.09026652018229105
0.01,0.15,0.12,0.09040384928385355
0.01,0.15,0.13,0.09053799947102803
0.01,0.15,0.14,0.09066960652669209
0.01,0.15,0.15,0.09079867045084573
0.01,0.15,0.16,0.09092646280924417
0.01,0.15,0.17,0.09105107625325459
0.01,0.15,0.18,0.09117251078287698
0.01,0.15,0.19,0.09129394531249937
0.01,0.15,0.2,0.09141220092773375
0.01,0.16,0.01,0.0885346476236973
0.01,0.16,0.02,0.08870758056640562
0.01,0.16,0.03,0.08887479146321553
0.01,0.16,0.04,0.089039459228515
0.01,0.16,0.05,0.08919904073079366
0.01,0.16,0.06,0.08935607910156187
0.01,0.16,0.07,0.08950930277506448
0.01,0.16,0.08,0.08965807596842386
0.01,0.16,0.09,0.08980367024739522
0.01,0.16,0.1,0.08994735717773375
0.01,0.16,0.11,0.09008786519368428
0.01,0.16,0.12,0.09022455851236917
0.01,0.16,0.13,0.09035934448242125
0.01,0.16,0.14,0.09049222310384053
0.01,0.16,0.15,0.09062192281087178
0.01,0.16,0.16,0.09074971516927022
0.01,0.16,0.17,0.09087496439615823
0.01,0.16,0.18,0.09099703470865823
0.01,0.16,0.19,0.09111846923828062
0.01,0.16,0.2,0.09123736063639261
0.01,0.17,0.01,0.08835344950358011
0.01,0.17,0.02,0.08852701822916605
0.01,0.17,0.03,0.08869550069173116
0.01,0.17,0.04,0.08885953267415303
0.01,0.17,0.05,0.08902102152506448
0.01,0.17,0.06,0.0891767883300775
0.01,0.17,0.07,0.08933001200358011
0.01,0.17,0.08,0.0894806925455723
0.01,0.17,0.09,0.08962692260742125
0.01,0.17,0.1,0.08976997375488219
0.01,0.17,0.11,0.08991048177083272
0.01,0.17,0.12,0.09004908243815042
0.01,0.17,0.13,0.0901838684082025
0.01,0.17,0.14,0.09031674702962178
0.01,0.17,0.15,0.09044644673665303
0.01,0.17,0.16,0.09057487487792906
0.01,0.17,0.17,0.09070075988769469
0.01,0.17,0.18,0.0908241017659499
0.01,0.17,0.19,0.0909461720784499
0.01,0.17,0.2,0.09106569925943948
0.01,0.18,0.01,0.08817415873209573
0.01,0.18,0.02,0.08834836324055928
0.01,0.18,0.03,0.08851748148600198
0.01,0.18,0.04,0.08868342081705667
0.01,0.18,0.05,0.08884363810221292
0.01,0.18,0.06,0.08900194803873636
0.01,0.18,0.07,0.08915517171223897
0.01,0.18,0.08,0.08930585225423116
0.01,0.18,0.09,0.08945335388183531
0.01,0.18,0.1,0.08959640502929625
0.01,0.18,0.11,0.08973754882812437
0.01,0.18,0.12,0.08987678527831969
0.01,0.18,0.13,0.09001157124837178
0.01,0.18,0.14,0.09014508565266866
0.01,0.18,0.15,0.0902754211425775
0.01,0.18,0.16,0.09040384928385355
0.01,0.18,0.17,0.09053037007649678
0.01,0.18,0.18,0.09065434773762959
0.01,0.18,0.19,0.09077705383300719
0.01,0.18,0.2,0.09089594523111917
0.01,0.19,0.01,0.08799868265787698
0.01,0.19,0.02,0.08817352294921812
0.01,0.19,0.03,0.08834327697753844
0.01,0.19,0.04,0.08850985209147073
0.01,0.19,0.05,0.08867070515950459
0.01,0.19,0.06,0.08882965087890562
0.01,0.19,0.07,0.08898351033528584
0.01,0.19,0.08,0.08913355509440042
0.01,0.19,0.09,0.08928169250488219
0.01,0.19,0.1,0.08942601521809834
0.01,0.19,0.11,0.08956779479980406
0.01,0.19,0.12,0.08970639546712178
0.01,0.19,0.13,0.08984245300292906
0.01,0.19,0.14,0.08997596740722594
0.01,0.19,0.15,0.0901069386800124
0.01,0.19,0.16,0.09023536682128844
0.01,0.19,0.17,0.09036188761393167
0.01,0.19,0.18,0.09048650105794209
0.01,0.19,0.19,0.0906098429361973
0.01,0.19,0.2,0.09072937011718687
0.01,0.2,0.01,0.08782574971516866
0.01,0.2,0.02,0.0880012257893874
0.01,0.2,0.03,0.08817161560058531
0.01,0.2,0.04,0.08833755493164
0.01,0.2,0.05,0.08850031534830667
0.01,0.2,0.06,0.0886579895019525
0.01,0.2,0.07,0.08881375630696553
0.01,0.2,0.08,0.08896380106608011
0.01,0.2,0.09,0.08911193847656187
0.01,0.2,0.1,0.08925753275553323
0.01,0.2,0.11,0.08939994812011656
0.01,0.2,0.12,0.08953918457031187
0.01,0.2,0.13,0.08967587788899678
0.01,0.2,0.14,0.08980939229329366
0.01,0.2,0.15,0.08994099934895772
0.01,0.2,0.16,0.09007069905598897
0.01,0.2,0.17,0.0901978556315098
0.01,0.2,0.18,0.090321197509765
0.01,0.2,0.19,0.09044453938802022
0.01,0.2,0.2,0.0905647023518874
0.02,0.01,0.01,0.09074272155761656
0.02,0.01,0.02,0.0908997599283848
0.02,0.01,0.03,0.091053619384765
0.02,0.01,0.04,0.09120048522949156
0.02,0.01,0.05,0.09134607950846292
0.02,0.01,0.06,0.09148722330729105
0.02,0.01,0.07,0.09162455240885355
0.02,0.01,0.08,0.09175997416178323
0.02,0.01,0.09,0.0918915812174473
0.02,0.01,0.1,0.09202191670735616
0.02,0.01,0.11,0.09215034484863219
0.02,0.01,0.12,0.09227495829264261
0.02,0.01,0.13,0.09239766438802022
0.02,0.01,0.14,0.092518463134765
0.02,0.01,0.15,0.09263544718424417
0.02,0.01,0.16,0.09275306701660094
0.02,0.01,0.17,0.09286750793456969
0.02,0.01,0.18,0.09297876993815042
0.02,0.01,0.19,0.09309066772460875
0.02,0.01,0.2,0.09319875081380147
0.02,0.02,0.01,0.09047950744628844
0.02,0.02,0.02,0.09063781738281187
0.02,0.02,0.03,0.09079104105631448
0.02,0.02,0.04,0.09094108581542906
0.02,0.02,0.05,0.09108731587727803
0.02,0.02,0.06,0.09122845967610616
0.02,0.02,0.07,0.09136896769205667
0.02,0.02,0.08,0.09150502522786397
0.02,0.02,0.09,0.09163790384928323
0.02,0.02,0.1,0.09176887512206969
0.02,0.02,0.11,0.09189857482910094
0.02,0.02,0.12,0.09202445983886656
0.02,0.02,0.13,0.09214843749999937
0.02,0.02,0.14,0.09227050781249937
0.02,0.02,0.15,0.09239003499348897
0.02,0.02,0.16,0.09250638326009053
0.02,0.02,0.17,0.09262145996093687
0.02,0.02,0.18,0.09273590087890562
0.02,0.02,0.19,0.09284652709960875
0.02,0.02,0.2,0.09295588175455667
0.02,0.03,0.01,0.09022328694661397
0.02,0.03,0.02,0.090382232666015
0.02,0.03,0.03,0.09053799947102803
0.02,0.03,0.04,0.09068868001302022
0.02,0.03,0.05,0.09083618164062437
0.02,0.03,0.06,0.09097859700520772
0.02,0.03,0.07,0.09111974080403584
0.02,0.03,0.08,0.09125706990559834
0.02,0.03,0.09,0.09139312744140562
0.02,0.03,0.1,0.0915253702799473
0.02,0.03,0.11,0.09165443420410094
0.02,0.03,0.12,0.09178159077962178
0.02,0.03,0.13,0.09190556844075459
0.02,0.03,0.14,0.09202827453613219
0.02,0.03,0.15,0.09214907328287698
0.02,0.03,0.16,0.09226796468098897
0.02,0.03,0.17,0.09238367716471292
0.02,0.03,0.18,0.09249748229980406
0.02,0.03,0.19,0.09261065165201761
0.02,0.03,0.2,0.09272127787272073
0.02,0.04,0.01,0.08997533162434834
0.02,0.04,0.02,0.09013491312662698
0.02,0.04,0.03,0.09029131571451761
0.02,0.04,0.04,0.09044390360514261
0.02,0.04,0.05,0.09059204101562437
0.02,0.04,0.06,0.09073572794596292
0.02,0.04,0.07,0.09087814331054625
0.02,0.04,0.08,0.09101674397786397
0.02,0.04,0.09,0.09115280151367125
0.02,0.04,0.1,0.09128568013509053
0.02,0.04,0.11,0.09141792297363219
0.02,0.04,0.12,0.09154507954915303
0.02,0.04,0.13,0.09167096455891866
0.02,0.04,0.14,0.09179430643717386
0.02,0.04,0.15,0.09191574096679625
0.02,0.04,0.16,0.09203526814778584
0.02,0.04,0.17,0.092152252197265
0.02,0.04,0.18,0.09226669311523375
0.02,0.04,0.19,0.0923804982503249
0.02,0.04,0.2,0.09249176025390562
0.02,0.05,0.01,0.08973373413085875
0.02,0.05,0.02,0.08989649454752542
0.02,0.05,0.03,0.09005226135253844
0.02,0.05,0.04,0.09020484924316344
0.02,0.05,0.05,0.09035425821940042
0.02,0.05,0.06,0.09050112406412698
0.02,0.05,0.07,0.09064417521158792
0.02,0.05,0.08,0.09078404744466084
0.02,0.05,0.09,0.09092074076334573
0.02,0.05,0.1,0.09105489095052022
0.02,0.05,0.11,0.09118586222330667
0.02,0.05,0.12,0.09131556193033792
0.02,0.05,0.13,0.09144271850585875
0.02,0.05,0.14,0.09156669616699156
0.02,0.05,0.15,0.09168876647949156
0.02,0.05,0.16,0.09180892944335875
0.02,0.05,0.17,0.09192654927571553
0.02,0.05,0.18,0.09204353332519469
0.02,0.05,0.19,0.09215670267740823
0.02,0.05,0.2,0.09226796468098897
0.02,0.06,0.01,0.08949976603190042
0.02,0.06,0.02,0.08966189066568948
0.02,0.06,0.03,0.08981956481933531
0.02,0.06,0.04,0.08997406005859312
0.02,0.06,0.05,0.09012474060058531
0.02,0.06,0.06,0.09027160644531187
0.02,0.06,0.07,0.09041465759277281
0.02,0.06,0.08,0.09055643717447855
0.02,0.06,0.09,0.09069503784179625
0.02,0.06,0.1,0.09082982381184834
0.02,0.06,0.11,0.0909614308675124
0.02,0.06,0.12,0.09109176635742125
0.02,0.06,0.13,0.09121892293294209
0.02,0.06,0.14,0.09134480794270772
0.02,0.06,0.15,0.09146751403808531
0.02,0.06,0.16,0.0915876770019525
0.02,0.06,0.17,0.09170656840006448
0.02,0.06,0.18,0.09182418823242125
0.02,0.06,0.19,0.0919379933675124
0.02,0.06,0.2,0.09205116271972594
0.02,0.07,0.01,0.08927024841308531
0.02,0.07,0.02,0.0894349161783848
0.02,0.07,0.03,0.08959386189778584
0.02,0.07,0.04,0.08974835713704366
0.02,0.07,0.05,0.08989967346191344
0.02,0.07,0.06,0.09004844665527281
0.02,0.07,0.07,0.09019213358561136
0.02,0.07,0.08,0.09033454895019469
0.02,0.07,0.09,0.09047378540039
0.02,0.07,0.1,0.09060920715331969
0.02,0.07,0.11,0.09074335734049417
0.02,0.07,0.12,0.09087305704752542
0.02,0.07,0.13,0.09100148518880147
0.02,0.07,0.14,0.09112737019856709
0.02,0.07,0.15,0.0912519836425775
0.02,0.07,0.16,0.0913740539550775
0.02,0.07,0.17,0.09149358113606709
0.02,0.07,0.18,0.09160929361979105
0.02,0.07,0.19,0.09172564188639261
0.02,0.07,0.2,0.09183881123860616
0.02,0.08,0.01,0.08904708862304625
0.02,0.08,0.02,0.08921239217122334
0.02,0.08,0.03,0.08937133789062437
0.02,0.08,0.04,0.08952837626139261
0.02,0.08,0.05,0.08968096415201761
0.02,0.08,0.06,0.08983037312825459
0.02,0.08,0.07,0.08997596740722594
0.02,0.08,0.08,0.09011774698893167
0.02,0.08,0.09,0.09025825500488219
0.02,0.08,0.1,0.09039431254068948
0.02,0.08,0.11,0.09052909851074156
0.02,0.08,0.12,0.09066070556640562
0.02,0.08,0.13,0.09078976949055928
0.02,0.08,0.14,0.09091692606608011
0.02,0.08,0.15,0.09104090372721292
0.02,0.08,0.16,0.09116233825683531
0.02,0.08,0.17,0.0912825012207025
0.02,0.08,0.18,0.09140139261881448
0.02,0.08,0.19,0.09151774088541605
0.02,0.08,0.2,0.09163154602050719
0.02,0.09,0.01,0.08882965087890562
0.02,0.09,0.02,0.08899559020996031
0.02,0.09,0.03,0.08915707906087178
0.02,0.09,0.04,0.0893134816487624
0.02,0.09,0.05,0.08946734110514261
0.02,0.09,0.06,0.08961675008137959
0.02,0.09,0.07,0.08976361592610616
0.02,0.09,0.08,0.08990603129068948
0.02,0.09,0.09,0.09004717508951761
0.02,0.09,0.1,0.09018577575683531
0.02,0.09,0.11,0.09031929016113219
0.02,0.09,0.12,0.09045153299967386
0.02,0.09,0.13,0.09058123270670511
0.02,0.09,0.14,0.09071029663085875
0.02,0.09,0.15,0.09083491007486917
0.02,0.09,0.16,0.09095761617024678
0.02,0.09,0.17,0.09107841491699156
0.02,0.09,0.18,0.09119730631510355
0.02,0.09,0.19,0.09131492614746031
0.02,0.09,0.2,0.09142873128255147
0.02,0.1,0.01,0.08861666361490823
0.02,0.1,0.02,0.08878387451171812
0.02,0.1,0.03,0.08894536336262959
0.02,0.1,0.04,0.08910303751627542
0.02,0.1,0.05,0.08925753275553323
0.02,0.1,0.06,0.08940884908040303
0.02,0.1,0.07,0.08955571492512959
0.02,0.1,0.08,0.08970003763834573
0.02,0.1,0.09,0.08984181722005147
0.02,0.1,0.1,0.08997978210449156
0.02,0.1,0.11,0.09011583964029886
0.02,0.1,0.12,0.09024871826171812
0.02,0.1,0.13,0.09037841796874937
0.02,0.1,0.14,0.09050684611002542
0.02,0.1,0.15,0.09063400268554625
0.02,0.1,0.16,0.09075670878092386
0.02,0.1,0.17,0.09087814331054625
0.02,0.1,0.18,0.09099767049153584
0.02,0.1,0.19,0.09111529032389261
0.02,0.1,0.2,0.09122973124186136
0.02,0.11,0.01,0.08840939839680928
0.02,0.11,0.02,0.08857660929361917
0.02,0.11,0.03,0.08873873392740823
0.02,0.11,0.04,0.08889895121256448
0.02,0.11,0.05,0.0890540822346999
0.02,0.11,0.06,0.08920476277669209
0.02,0.11,0.07,0.08935290018717386
0.02,0.11,0.08,0.08949913024902281
0.02,0.11,0.09,0.08964090983072855
0.02,0.11,0.1,0.08977887471516866
0.02,0.11,0.11,0.08991556803385355
0.02,0.11,0.12,0.09004908243815042
0.02,0.11,0.13,0.09018005371093687
0.02,0.11,0.14,0.09030911763509053
0.02,0.11,0.15,0.09043627421061136
0.02,0.11,0.16,0.09056025187174417
0.02,0.11,0.17,0.09068232218424417
0.02,0.11,0.18,0.09080184936523375
0.02,0.11,0.19,0.09092010498046812
0.02,0.11,0.2,0.09103518168131448
0.02,0.12,0.01,0.08820594787597594
0.02,0.12,0.02,0.08837379455566344
0.02,0.12,0.03,0.08853782653808531
0.02,0.12,0.04,0.08869740804036397
0.02,0.12,0.05,0.08885381062825459
0.02,0.12,0.06,0.08900576273600198
0.02,0.12,0.07,0.08915453592936136
0.02,0.12,0.08,0.08930140177408792
0.02,0.12,0.09,0.08944381713867125
0.02,0.12,0.1,0.08958241780598897
0.02,0.12,0.11,0.08971974690755147
0.02,0.12,0.12,0.08985389709472594
0.02,0.12,0.13,0.08998550415039
0.02,0.12,0.14,0.09011520385742125
0.02,0.12,0.15,0.09024299621581969
0.02,0.12,0.16,0.0903669738769525
0.02,0.12,0.17,0.09048967997233011
0.02,0.12,0.18,0.0906098429361973
0.02,0.12,0.19,0.09072873433430928
0.02,0.12,0.2,0.09084508260091084
0.02,0.13,0.01,0.08800758361816344
0.02,0.13,0.02,0.08817670186360616
0.02,0.13,0.03,0.08834136962890562
0.02,0.13,0.04,0.08850095113118428
0.02,0.13,0.05,0.0886579895019525
0.02,0.13,0.06,0.0888105773925775
0.02,0.13,0.07,0.08895998636881448
0.02,0.13,0.08,0.08910748799641866
0.02,0.13,0.09,0.08925053914387959
0.02,0.13,0.1,0.0893904113769525
0.02,0.13,0.11,0.089527740478515
0.02,0.13,0.12,0.08966252644856709
0.02,0.13,0.13,0.08979476928710875
0.02,0.13,0.14,0.08992510477701761
0.02,0.13,0.15,0.09005226135253844
0.02,0.13,0.16,0.09017751057942647
0.02,0.13,0.17,0.09030148824055928
0.02,0.13,0.18,0.09042292277018167
0.02,0.13,0.19,0.09054117838541605
0.02,0.13,0.2,0.09065816243489522
0.02,0.14,0.01,0.08781239827473897
0.02,0.14,0.02,0.08798278808593687
0.02,0.14,0.03,0.08814745585123636
0.02,0.14,0.04,0.08830830891927022
