R1,R2,erro
0.001,0.001,0.08556
0.001,0.002,0.08557
0.001,0.003,0.08559
0.001,0.004,0.0856
0.001,0.005,0.08562
0.001,0.006,0.08563
0.001,0.007,0.08565
0.001,0.008,0.08566
0.001,0.009,0.08568
0.001,0.01,0.0857
0.001,0.011,0.08571
0.001,0.012,0.08573
0.001,0.013,0.08574
0.001,0.014,0.08576
0.001,0.015,0.08577
0.001,0.016,0.08578
0.001,0.017,0.0858
0.001,0.018,0.08582
0.001,0.019,0.08583
0.001,0.02,0.08584
0.001,0.021,0.08586
0.001,0.022,0.08587
0.001,0.023,0.08589
0.001,0.024,0.0859
0.001,0.025,0.08592
0.001,0.026,0.08593
0.001,0.027,0.08595
0.001,0.028,0.08596
0.001,0.029,0.08598
0.001,0.03,0.08599
0.001,0.031,0.086
0.001,0.032,0.08602
0.001,0.033,0.08603
0.001,0.034,0.08605
0.001,0.035,0.08606
0.001,0.036,0.08608
0.001,0.037,0.08609
0.001,0.038,0.0861
0.001,0.039,0.08612
0.001,0.04,0.08613
0.001,0.041,0.08615
0.001,0.042,0.08616
0.001,0.043,0.08617
0.001,0.044,0.08619
0.001,0.045,0.0862
0.001,0.046,0.08621
0.001,0.047,0.08623
0.001,0.048,0.08624
0.001,0.049,0.08626
0.001,0.05,0.08627
0.001,0.051,0.08628
0.001,0.052,0.0863
0.001,0.053,0.08631
0.001,0.054,0.08632
0.001,0.055,0.08634
0.001,0.056,0.08635
0.001,0.057,0.08636
0.001,0.058,0.08638
0.001,0.059,0.08639
0.001,0.06,0.0864
0.001,0.061,0.08642
0.001,0.062,0.08643
0.001,0.063,0.08645
0.001,0.064,0.08646
0.001,0.065,0.08647
0.001,0.066,0.08648
0.001,0.067,0.0865
0.001,0.068,0.08651
0.001,0.069,0.08652
0.001,0.07,0.08654
0.001,0.071,0.08655
0.001,0.072,0.08656
0.001,0.073,0.08658
0.001,0.074,0.08659
0.001,0.075,0.0866
0.001,0.076,0.08661
0.001,0.077,0.08663
0.001,0.078,0.08664
0.001,0.079,0.08665
0.001,0.08,0.08666
0.001,0.081,0.08668
0.001,0.082,0.08669
0.001,0.083,0.0867
0.001,0.084,0.08672
0.001,0.085,0.08673
0.001,0.086,0.08674
0.001,0.087,0.08675
0.001,0.088,0.08677
0.001,0.089,0.08678
0.001,0.09,0.08679
0.001,0.091,0.0868
0.001,0.092,0.08682
0.001,0.093,0.08683
0.001,0.094,0.08684
0.001,0.095,0.08685
0.001,0.096,0.08686
0.001,0.097,0.08688
0.001,0.098,0.08689
0.001,0.099,0.0869
0.001,0.1,0.08691
0.001,0.101,0.08693
0.001,0.102,0.08694
0.001,0.103,0.08695
0.001,0.104,0.08696
0.001,0.105,0.08698
0.001,0.106,0.08699
0.001,0.107,0.087
0.001,0.108,0.08701
0.001,0.109,0.08702
0.001,0.11,0.08703
0.001,0.111,0.08705
0.001,0.112,0.08706
0.001,0.113,0.08707
0.001,0.114,0.08708
0.001,0.115,0.08709
0.001,0.116,0.08711
0.001,0.117,0.08712
0.001,0.118,0.08713
0.001,0.119,0.08714
0.001,0.12,0.08715
0.001,0.121,0.08717
0.001,0.122,0.08718
0.001,0.123,0.08719
0.001,0.124,0.0872
0.001,0.125,0.08721
0.001,0.126,0.08722
0.001,0.127,0.08723
0.001,0.128,0.08725
0.001,0.129,0.08726
0.001,0.13,0.08727
0.001,0.131,0.08728
0.001,0.132,0.08729
0.001,0.133,0.0873
0.001,0.134,0.08732
0.001,0.135,0.08733
0.001,0.136,0.08734
0.001,0.137,0.08735
0.001,0.138,0.08736
0.001,0.139,0.08737
0.001,0.14,0.08738
0.001,0.141,0.0874
0.001,0.142,0.08741
0.001,0.143,0.08742
0.001,0.144,0.08743
0.001,0.145,0.08744
0.001,0.146,0.08745
0.001,0.147,0.08746
0.001,0.148,0.08747
0.001,0.149,0.08748
0.001,0.15,0.08749
0.001,0.151,0.08751
0.001,0.152,0.08752
0.001,0.153,0.08753
0.001,0.154,0.08754
0.001,0.155,0.08755
0.001,0.156,0.08756
0.001,0.157,0.08757
0.001,0.158,0.08758
0.001,0.159,0.08759
0.001,0.16,0.08761
0.001,0.161,0.08762
0.001,0.162,0.08763
0.001,0.163,0.08764
0.001,0.164,0.08765
0.001,0.165,0.08766
0.001,0.166,0.08767
0.001,0.167,0.08768
0.001,0.168,0.08769
0.001,0.169,0.0877
0.001,0.17,0.08771
0.001,0.171,0.08772
0.001,0.172,0.08773
0.001,0.173,0.08775
0.001,0.174,0.08776
0.001,0.175,0.08777
0.001,0.176,0.08778
0.001,0.177,0.08779
0.001,0.178,0.0878
0.001,0.179,0.08781
0.001,0.18,0.08782
0.001,0.181,0.08783
0.001,0.182,0.08784
0.001,0.183,0.08785
0.001,0.184,0.08786
0.001,0.185,0.08787
0.001,0.186,0.08788
0.001,0.187,0.08789
0.001,0.188,0.0879
0.001,0.189,0.08791
0.001,0.19,0.08792
0.001,0.191,0.08793
0.001,0.192,0.08795
0.001,0.193,0.08795
0.001,0.194,0.08796
0.001,0.195,0.08798
0.001,0.196,0.08799
